frase	duracao_media_masculino	total_classificacoes_masculino	classificacao_majoritaria_masculino	votos_maioria_masculino	total_positiva_masculino	total_negativa_masculino	total_neutra_masculino	duracao_media_feminino	total_classificacoes_feminino	classificacao_majoritaria_feminino	votos_maioria_feminino	total_positiva_feminino	total_negativa_feminino	total_neutra_feminino	concordancia_grupos
Eu parei no estacionamento de uma feira do bairro Santo Antônio em Manaus e lá começamos a nos agarrar com vontade.	4.66375	4	positiva	3	3	1	0	8.2075	4	positiva	2	2	1	1	1
Meu amor e eu, nascemos um para o outro. Só falta quem nos apresentem.	4.97825	4	neutra	3	1	0	3	6.889750000000001	4	neutra	3	1	0	3	1
Ódio, eu nao tenho por você, nem pelo meu pai mesmo ele sendo ausente.	8.0515	4	neutra	4	0	0	4	3.6317500000000003	4	positiva	4	4	0	0	0
Conta uma velha lenda dos índios Sioux que, uma vez, Touro Bravo, o mais valente e honrado de todos os jovens guerreiros, e Nuvem Azul, a filha do cacique, uma das mais formosas mulheres da tribo, chegaram de mãos dadas, até a tenda do velho feiticeiro da tribo.	13.288999999999998	4	positiva	3	3	1	0	7.984500000000001	4	negativa	3	0	3	1	0
Tem tantas situações boas e ruins que envolvem amor e paixão, que não há como descrever todas.	8.062249999999999	4	neutra	3	1	0	3	10.35725	4	neutra	4	0	0	4	1
Assim que cheguei, Penélope estava esperando.	16.15325	4	neutra	3	1	0	3	7.61175	4	neutra	3	0	1	3	1
Só que por consciência minha mesmo decidi eu mesma sustentar meu filho.	1.96325	4	neutra	3	1	0	3	2.81175	4	neutra	4	0	0	4	1
Pode ser que nos vejamos amanhã, pode ser que só nos encontremos daqui a um ano, pode ser até que o tempo nos afaste ainda mais, mas eu quero que você saiba que hoje lembrei de você.	5.86475	4	positiva	3	3	0	1	9.4035	4	positiva	3	3	1	0	1
Mas mãe, por favor, não abra mão de mim assim.	5.4285	4	positiva	3	3	1	0	7.75225	4	positiva	2	2	1	1	1
A senhora ainda brincava, fazia a gente sorrir e sempre que alguém dizia, como vai dona Maria?	3.386	4	negativa	2	1	2	1	6.678749999999999	4	negativa	3	0	3	1	1
Pronunciar que te admiro, que gosto de ti é pouco demais.	7.0120000000000005	4	positiva	4	4	0	0	6.7855	4	neutra	3	1	0	3	0
A verdade é que sou intensa demais e não há quem dê jeito nisso.	2.8155	4	positiva	4	4	0	0	4.52025	4	positiva	2	2	1	1	1
Que estará em meus sonhos você é diferente!	2.6774999999999998	4	positiva	3	3	0	1	3.4275	4	neutra	3	0	1	3	0
Hoje eu acordei e vi seu lado da cama vazio.	3.3100000000000005	4	negativa	3	1	3	0	4.00525	4	negativa	3	0	3	1	1
Não sei o que dizer, não sei o que fazer, estou perdido, pedi ajuda até mesmo ao meu cachorro em uma esperança psicótica de que ele responderia, ou faria algo mágico.	2.27475	4	positiva	4	4	0	0	3.95275	4	positiva	4	4	0	0	1
Foi perfeito, minha irmã e meu esposo fizeram tudo, 2 tipos de tortas, tudo lindo.	14.830000000000002	4	negativa	4	0	4	0	6.82675	4	negativa	4	0	4	0	1
Começamos a conversa e estava tudo certo ate que ele falou que ia voltar só para ver se eles deixam ele encostado no trabalho ou para ele assinar a carta de demissão.	3.14775	4	positiva	4	4	0	0	4.832	4	positiva	3	3	0	1	1
Tirei a minha calça e eu fiquei só de cueca box cinza e uma regata preta, ela foi ao banheiro e quando voltou veio com uma calcinha fiu dental vermelhinha matadora.	16.6185	4	neutra	3	0	1	3	9.03425	4	negativa	2	1	2	1	0
O meu namorado não tem estilo nenhum, me ajudem?	3.7910000000000004	4	positiva	3	3	0	1	6.377249999999999	4	positiva	4	4	0	0	1
Minhas amigas descobriram por que me pegaram a força e tiraram meu casaco pra ver o que eu tanto escondia.	39.8535	4	positiva	4	4	0	0	8.22575	4	positiva	3	3	0	1	1
O Marcelo é especial e o que sinto por ele não tem acabado , só tem aumentado cada vez mais e mais .	3.233	4	positiva	4	4	0	0	7.04275	4	positiva	4	4	0	0	1
Porem hoje em dia que eu tenho uma condição financeira melhor que minha família, eles ficam querendo tirar o pouco que eu tenho.	15.786999999999999	4	negativa	4	0	4	0	5.5032499999999995	4	negativa	3	1	3	0	1
E os gemidos são tão forçados, parece mais que estão parindo do que fazendo sexo - sexo não, tá mais pra uma cópula.	31.888250000000003	4	negativa	3	0	3	1	7.757	4	negativa	3	1	3	0	1
Acabando a prova, eu desci encontrei ele no pátio, ele pegou o livro da minha mão e fomos pra parada, chegando lá sentamos e começamos a conversar, conversa vai, conversa vinha.	2.35675	4	negativa	4	0	4	0	2.18225	4	neutra	3	0	1	3	0
E meu marido viu e me chamou a atenção e com toda a razão, pois eu sou muito distraída e BURRA por ter feito isso e admito que eu estou errada e estou com a maior vergonha dele e de mim por ter feito isso.	21.78775	4	negativa	4	0	4	0	8.944749999999999	4	negativa	2	1	2	1	1
Tenho medo de cair em depressão novamente, meu coração tá com um vazio imenso, tento fazer de tudo pra ocupar minha cabeça, passar meu tempo e nada me consola, nada me faz tirar a imagem do último suspiro dela da minha cabeça.	34.306999999999995	4	negativa	4	0	4	0	7.442	4	negativa	4	0	4	0	1
Daquele jeito, vc beijando gostoso e fazendo tudo o que se tem direito em quatro paredes.	3.80725	4	negativa	4	0	4	0	6.33025	4	negativa	4	0	4	0	1
Eles foram, eu entrei na sala, ele estava na frente do computador, quando eu coloquei a bolsa e um sacola que estava, numa mesa próxima a dele, ele beijou com um gosto de quero mais, nos começamos as preliminares ali.	37.853249999999996	4	positiva	3	3	0	1	5.615500000000001	4	positiva	3	3	0	1	1
Apaixonada pelas coisas simples que o mundo oferece como a mata, a chuva, o sol, a lua, o orvalho da floresta.	6.738	4	positiva	4	4	0	0	11.18975	4	positiva	4	4	0	0	1
Vou morrer de vergonha quando o resultado sair!	3.1145	4	positiva	4	4	0	0	6.29275	4	positiva	4	4	0	0	1
Fiquei meio constrangida, mas valeu a pena.	3.7319999999999998	4	neutra	2	1	1	2	5.70425	4	negativa	2	1	2	1	0
Porque eu fiz a sua alma gêmea.	2.6265	4	positiva	3	3	0	1	2.9210000000000003	4	positiva	2	2	1	1	1
E cortou a minha franja no meio da testa e torta.	1.7352499999999997	4	positiva	4	4	0	0	3.20675	4	positiva	3	3	0	1	1
Apesar da distância ainda resta uma esperança de eu poder te ver, meu amor eterno.	4.109500000000001	4	positiva	4	4	0	0	5.87575	4	positiva	2	2	1	1	1
Achei uma solução, ou melhor, na minha cabeça era a única solução.	4.789	4	positiva	4	4	0	0	5.8865	4	positiva	3	3	1	0	1
Ontem [domingo] não deu para escrever aqui pois estava muito ocupada.	4.14	4	positiva	4	4	0	0	4.94225	4	positiva	3	3	0	1	1
Ele puxou assunto comigo e parou de me chamar pelo meu nome e começou a me chamar pelo o meu apelido.	6.62225	4	neutra	4	0	0	4	3.5122500000000003	4	neutra	4	0	0	4	1
Mesmo assim continuo cometendo os mesmos erros, como se alguma coisa me puxasse, para o fundo do poço ,para um beco sem saída, sinto falta de carinho, de me arrumar, de sair ,de ter amigos pra conversar ,sinto falta de ser alguém, de ser lembrada, de ser amada, me sinto perdida.	5.460999999999999	4	neutra	3	1	0	3	13.88	4	neutra	3	0	1	3	1
Alguns são leves e divertidos, nos mostram a alegria da vida.	5.638	4	negativa	4	0	4	0	24.647000000000002	4	negativa	3	0	3	1	1
Depois daquele dia eu mudei inovei meu visual mudei meu guarda-roupa terminei os estudos hoje sou psicóloga e ajudo mulheres como eu, se eu te disser que esqueci não seria verdade mas consigo lembrar de tudo sem dor.	4.29575	4	positiva	4	4	0	0	6.796000000000001	4	positiva	3	3	0	1	1
A saudade é a maior prova de que o passado valeu a pena.	3.2960000000000003	4	positiva	4	4	0	0	19.91625	4	positiva	4	4	0	0	1
Tenho percebido como minha vida tem mudado de uns anos pra cá e como eu mudei.	2.424	4	positiva	4	4	0	0	5.759250000000001	4	positiva	3	3	1	0	1
Mas tivemos um namoro perfeito, era de dar inveja a todos.	5.01225	4	neutra	3	1	0	3	6.8149999999999995	4	neutra	3	1	0	3	1
Os amigos dele começaram a me odiar porque ele só queria ficar comigo.	2.53825	4	positiva	4	4	0	0	4.04825	4	positiva	3	3	0	1	1
Fui olhar o celular como de costume e vi lá uma mensagem.	3.33	4	neutra	2	1	1	2	6.48025	4	negativa	3	0	3	1	0
Para ser feliz não existe poção mágica.	3.7032500000000006	4	neutra	3	1	0	3	5.47525	4	neutra	3	1	0	3	1
De noites perfeitas de amor, você me fez ver o que é realmente o amor.	6.825749999999999	4	positiva	3	3	0	1	10.05575	4	positiva	4	4	0	0	1
Nas outras duas vezes também foi assim, só que agora tá demais.	2.35325	4	positiva	4	4	0	0	4.00325	4	positiva	3	3	0	1	1
O nosso coração é sempre a vitima, sempre fica em pedaços.	3.5175	4	neutra	3	0	1	3	4.95275	4	neutra	3	0	1	3	1
Por favor me explique, nunca imaginei poder amar assim.	2.699	4	negativa	4	0	4	0	4.73225	4	negativa	3	0	3	1	1
Tenho tudo que uma pequena adolescente pode ter, amigos, pessoas q me amam, dinheiro, popularidade, tenho tudo.	3.2535	4	positiva	4	4	0	0	5.52475	4	positiva	3	3	0	1	1
Quando contei a mamãe ela ficou assustada com medo do que eu ia achar e quis saber quem me contou e eu disse que foi o papai.	5.223	4	positiva	4	4	0	0	5.9915	4	positiva	3	3	0	1	1
Ao mesmo tempo me fazem bem, mas ao mesmo tempo me fazem mal.	11.01425	4	neutra	4	0	0	4	11.139	4	negativa	2	1	2	1	0
Quarta feira à noite sai o gabarito, aí eu vou saber quantas eu acertei.	21.53175	4	negativa	3	0	3	1	5.1114999999999995	4	neutra	4	0	0	4	0
Estou criando essa página pra desabafar com meu próprio computador.	4.12925	4	neutra	3	1	0	3	4.1635	4	neutra	4	0	0	4	1
Eu estou chateada com tudo que esta acontecendo comigo.	3.3547499999999997	4	neutra	2	1	1	2	4.3165000000000004	4	positiva	3	3	0	1	0
Acho que entendo a situação, mostre-me onde estão a pá e os pregos.	2.73875	4	negativa	4	0	4	0	3.2015000000000002	4	negativa	3	0	3	1	1
Eu vi e me apaixonei ainda mais pelo meu marido e pelo meu casamento.	6.13325	4	positiva	3	3	1	0	6.2540000000000004	4	neutra	4	0	0	4	0
Quando o ver de umas olhadas pra ele, (mas sem disfarçar) no começo ele não vai intender, mas o encare por 1 segundo, e depois delicadamente mexa no cabelo olhando para outro lugar.	4.10725	4	positiva	4	4	0	0	216.55050000000003	4	positiva	3	3	0	1	1
De todo o amor do mundo para ele , sem cair em tentação .	9.71725	4	positiva	3	3	0	1	21.9935	4	neutra	2	1	1	2	0
Este é o primeiro registro que faço aqui, e no momento não há muito o que falar da minha vida pessoal, então, vou reproduzir algo que escrevi em mensagem.	5.5927500000000006	4	positiva	3	3	0	1	9.526	4	neutra	2	1	1	2	0
Ainda lembro de quanta satisfação que eu tinha em te ver sorrir.	7.97925	4	neutra	4	0	0	4	6.5535	4	neutra	4	0	0	4	1
Então fiz o cabelo dela, fiz uma escova pra fora, pra combinar com o corte, aí ela veio dizendo que estava horrível e mandou eu refazer tudo de novo, mas pra dentro.	6.163	4	positiva	3	3	0	1	4.61925	4	positiva	3	3	1	0	1
Sei la, é uma relação estranha.	8.0215	4	negativa	4	0	4	0	9.060749999999999	4	negativa	4	0	4	0	1
Hoje marquei uma consulta no ginecologista.	5.8955	4	neutra	3	1	0	3	5.45225	4	neutra	4	0	0	4	1
Em quantos motivos eu já pensei para ser a razão do meu sofrimento, e até hoje eu não havia encontrado a resposta!	2.90175	4	neutra	3	1	0	3	2.232	4	neutra	4	0	0	4	1
Ele está triste e eu estou triste.	9.14325	4	negativa	3	0	3	1	8.7195	4	negativa	3	0	3	1	1
Alguns esbarram na gente numa esquina qualquer, sem avisar e nos dão carinhos reais, sorrisos reais, proteção real.	3.0357499999999997	4	negativa	4	0	4	0	3.20975	4	negativa	3	0	3	1	1
Perguntou se eu estava melhor ( ultimamente só tenho chorado), disse para ele que eu estava normal, mais não consigo engana-lo, ele sabia que eu não estava bem.	12.788750000000002	4	positiva	4	4	0	0	7.531	4	positiva	3	3	0	1	1
Mas acho que é porque estou chegando na adolescência e todos ficam assim nessa fase da vida.	6.8435	4	negativa	4	0	4	0	10.72775	4	negativa	4	0	4	0	1
A não ser pelo fato de que o idiota do cabeleireiro errou.	4.763	4	neutra	3	0	1	3	7.08575	4	neutra	3	0	1	3	1
Ta certo que ficar com essas crises hipomaníacas é meio constrangedor - mas ficar deprimida e com ideações suicidas também não é nada legal.	4.0115	4	negativa	4	0	4	0	3.66375	4	negativa	3	0	3	1	1
Chorei mais do que no natal e na páscoa, juro juradinho que chorei.	7.18	4	negativa	4	0	4	0	8.2985	4	negativa	4	0	4	0	1
E nessa música ele começa a falar algumas coisas sobre o amor, e eu acho simplesmente lindo tudo oque ele fala!	7.0329999999999995	4	negativa	2	1	2	1	4.02225	4	negativa	3	0	3	1	1
E quando aquela pessoa chega perto à gente estremece a mão soa, o coração acelera, o nosso mundo fica diferente, por que a pessoa é especial demais.	7.24	4	positiva	4	4	0	0	5.7197499999999994	4	positiva	4	4	0	0	1
Comecei a sentir uma estranha, excitação interna, não exatamente por ele, mas pela situação.	6.0665	4	positiva	4	4	0	0	7.749750000000001	4	positiva	4	4	0	0	1
Então eu não sei mais oque fazer, me entregar pra morte ou esperar mais um pouco?	6.36125	4	positiva	4	4	0	0	6.04625	4	positiva	4	4	0	0	1
Sempre perdeu o controle e usou de maldade demoníaca nas surras que me dava.	3.5645000000000002	4	negativa	3	1	3	0	4.9395	4	negativa	4	0	4	0	1
Passei então 3 aulas me segurando pra não chorar e tentando estudar, pois ia fazer 3 provas depois do intervalo.	4.93975	4	negativa	4	0	4	0	4.001	4	negativa	4	0	4	0	1
Nem ao menos um beijo seu eu consegui, mas posso afirmar que não foi necessário para mim me apaixonar loucamente por ti.	60.8605	4	negativa	4	0	4	0	7.467249999999999	4	negativa	4	0	4	0	1
Depois de 6 horas de prazer saímos do motel.	8.026250000000001	4	positiva	3	3	0	1	7.346	4	positiva	2	2	1	1	1
Pedi então minha mãe para deixa agente ir ao cinema, ela deixou, cortamos o bolo e fomos para o cinema, fomos ver os vingadores, muito legal.	4.05	4	positiva	4	4	0	0	6.20475	4	neutra	3	1	0	3	0
Eles não confiam um no outro, ela já me disse claramente que não confia!	7.188749999999999	4	positiva	3	3	0	1	9.1555	4	neutra	2	1	1	2	0
Mamãe ficou orgulhosa de mim e disse que eu sou um anjo.	4.6305	4	negativa	4	0	4	0	4.5280000000000005	4	negativa	4	0	4	0	1
EU DISSE QUE TRABALHAVA ATÉ TARDE.	2.3577500000000002	4	positiva	4	4	0	0	3.5820000000000003	4	positiva	4	4	0	0	1
Perdão por eu não ter crescido da maneira e nem do modo que você esperava.	5.223000000000001	4	neutra	3	0	1	3	3.40675	4	neutra	4	0	0	4	1
No entanto, estar sozinho é absolutamente o oposto de estar com alguém.	7.3855	4	negativa	3	1	3	0	5.192	4	negativa	4	0	4	0	1
Hoje eu e meu namorado nos divertimos tanto.	6.239000000000001	4	neutra	2	1	1	2	4.9135	4	neutra	3	0	1	3	1
Chegamos da festa e fomos logo dormir, minha irmã foi a primeira a cair no sono, enquanto eu e meu namorado ficamos de mãos dadas (ele deitado e eu também... e conversando baixinho).	2.6395	4	positiva	4	4	0	0	2.7399999999999998	4	positiva	3	3	0	1	1
To muito mal, eu devia ter ouvido meu professor de matemática e escolhi um cursinho qualquer.	6.76775	4	positiva	4	4	0	0	8.0145	4	positiva	3	3	0	1	1
.E é incrível como esse sentimento me faz bem e mal ao mesmo tempo.	6.763999999999999	4	negativa	4	0	4	0	6.12375	4	negativa	3	0	3	1	1
Não to aguentando mais segurar isso comigo.	5.09325	4	neutra	4	0	0	4	4.54625	4	neutra	2	1	1	2	1
Hoje, na véspera de feriado, ela estava, por coincidência, no mesmo grupo que ele, e resolveu perguntar se ele gostava de mim, mas ele disse que só como amiga.	3.5147500000000003	4	negativa	3	0	3	1	3.753	4	negativa	4	0	4	0	1
Diz ele que levantou antes de mim, e ficou beijando meu rosto, e eu nem mexia de tanto sono.	10.925	4	negativa	3	1	3	0	10.205250000000001	4	negativa	4	0	4	0	1
Pois essa nossa amizade merece mais que palavras, merecia ser contada ao mundo, para que assim todos pudessem sentir, e talvez até entender o significado da nossa amizade.	45.1385	4	positiva	2	2	1	1	8.17325	4	neutra	3	1	0	3	0
Foi só ele me abraçar que eu também comecei a sentir calor e tirei a blusa de frio.	6.66025	4	positiva	4	4	0	0	8.819	4	positiva	4	4	0	0	1
Hoje minha vida é uma grande bosta, eu me sinto tão imperfeitamente estranha uma aberração, EU ME ODEIO!	7.637	4	positiva	4	4	0	0	5.601000000000001	4	positiva	3	3	0	1	1
Minha mãe ligava falando um monte, que eu era uma irresponsável e que as coisas não poderiam ficar assim.	4.11975	4	negativa	4	0	4	0	5.35625	4	negativa	4	0	4	0	1
Ser boazinha até com quem devia ser chata, tentar tratar todos bem.	13.61075	4	negativa	4	0	4	0	6.185499999999999	4	negativa	4	0	4	0	1
Já to acostumada ficar dias longe.	5.767999999999999	4	neutra	3	1	0	3	8.94375	4	negativa	3	0	3	1	0
Mas não teria outro modo de escrever algo que sinto sem tentar explicar ou dar motivos mesmo que amar isente qualquer tipo de explicação e não requer motivos para acontecer.	3.793	4	negativa	2	1	2	1	5.0485	4	neutra	4	0	0	4	0
Hoje foi minha primeira sessão, a terapeuta me causou uma boa impressão.	12.27875	4	neutra	3	1	0	3	18.59525	4	neutra	4	0	0	4	1
Aí ele me abraçou, me beijou e a gente ficou enrolando e conversando um pouco e depois dormimos.	3.68325	4	positiva	3	3	0	1	4.52575	4	positiva	3	3	0	1	1
Tenho tantos pecados que teria que nascer duas vezes para pedir perdão a Deus e me arrepender de todos eles.	7.498	4	positiva	4	4	0	0	5.0495	4	positiva	3	3	0	1	1
E Minha vida nunca e nunca será algo que possa chama de vida, os meus amigos(colegas) parecem ter uma vida melhor que a minha, não quero mais ter que esconder que estou sofrendo.	49.70675	4	negativa	4	0	4	0	6.259250000000001	4	negativa	3	0	3	1	1
Eu me sinto tão sozinha e tão ferida por dentro, meu coração esta quebrado está transparecido no meu olhar e eu aumento o som da musica para que os vizinhos não escutem os meus gritos de dor , como se meu mundo estivesse desmoronando.	7.670249999999999	4	negativa	4	0	4	0	8.909	4	negativa	4	0	4	0	1
Hoje estou muito tranquilo, muito mesmo.	4.02175	4	negativa	4	0	4	0	10.52	4	negativa	4	0	4	0	1
Eu entrando na minha sala então com os olhos cheios de lágrimas tive que me conter, pois as meninas que dizem ser minhas amigas só iam querer saber o porque de eu está chorando e iam me criticar.	3.0945	4	positiva	3	3	0	1	4.273999999999999	4	positiva	3	3	0	1	1
Gente gostaria de desabafar com vocês minha historia com minha família.	8.74525	4	negativa	4	0	4	0	9.0985	4	negativa	3	0	3	1	1
Não sabe como me dói quando você me desmerece e me humilha na frente de quem quer que seja.	3.476	4	neutra	3	1	0	3	5.955	4	negativa	3	0	3	1	0
E ele me acalmo, e agora já esta ficando tudo bem.	4.709	4	negativa	3	1	3	0	4.92825	4	negativa	4	0	4	0	1
u brigava com você por deixar TV e as luz de vários cômodos acesa.	4.648499999999999	4	positiva	3	3	0	1	5.5249999999999995	4	positiva	2	2	1	1	1
Ele gemia do jeito que deixa muito excitada.	6.662	4	neutra	3	0	1	3	6.851	4	negativa	3	0	3	1	0
Meu tio estava voltando do Paraná de onde minha tia que me criou morava, pediu para conversar comigo um assunto muito delicado.	3.413	4	positiva	4	4	0	0	4.1875	4	positiva	3	3	0	1	1
Tinha um garoto que ficava direto me olhando e isso tava me incomodando.	9.08475	4	neutra	3	0	1	3	8.021	4	neutra	3	0	1	3	1
Nem tudo deu tão errado como tá dando agora, mas eu AINDA acredito que esse ano vai ser bom.	4.71	4	negativa	4	0	4	0	4.2075	4	negativa	3	0	3	1	1
Aos 14 anos, vi meus pais brigarem, varias vezes meu pai sair de casa, a meus discutirem comigo, e eu chegava em casa sabe, correndo pro meu quarto chorar.	9.1435	4	positiva	4	4	0	0	4.922750000000001	4	positiva	3	3	1	0	1
Você me prometeu, eu sei, eu me lembro, você jurou que ia ser pra sempre.	9.523499999999999	4	negativa	4	0	4	0	9.187999999999999	4	negativa	4	0	4	0	1
Gosto de um menino a quase três anos.	5.43625	4	negativa	4	0	4	0	6.027749999999999	4	negativa	4	0	4	0	1
Mas a sensação de alguém por perto era suficiente pra mim.	4.493	4	neutra	3	1	0	3	4.21225	4	neutra	4	0	0	4	1
Enfim é assim que começa meu dilema, eu tive um namorado com 14 anos e com ele fiquei até meus 16 engravidei e tudo foi por agua a baixo.	3.68075	4	positiva	4	4	0	0	5.046250000000001	4	neutra	3	1	0	3	0
Quando encontrar alguém e esse alguém fizer seu coração parar de funcionar por alguns segundos, preste atenção: pode ser a pessoa mais importante da sua vida.	8.33925	4	negativa	4	0	4	0	8.077749999999998	4	negativa	3	0	3	1	1
Que seja eterno enquanto dure, e que dure para sempre.	7.190249999999999	4	positiva	4	4	0	0	9.544749999999999	4	positiva	3	3	0	1	1
Ela não se importa de ouvir as suas reclamações amorosas, por mais que doa muito, ela sempre estará ali, para te amparar.	3.20375	4	positiva	4	4	0	0	3.917	4	positiva	2	2	1	1	1
Acho que a maioria nem vai responder, só por ter passado por uma experiência tão ruim em relação a estes.	6.54925	4	positiva	4	4	0	0	7.58075	4	positiva	2	2	1	1	1
Quando acordei ele me abraçou, me beijou me chamando de preguiçosa e falou te amo  Ele é lindo demais.	9.62025	4	negativa	4	0	4	0	4.9422500000000005	4	negativa	3	0	3	1	1
Sempre gostei de admirar o céu, de olhar as estrelas, entender o mistério que há lá em cima e quando olho a lua, ah lua!	5.06475	4	positiva	4	4	0	0	5.45575	4	positiva	4	4	0	0	1
Agente está começando a se afastar e você nem notou.	4.62275	4	positiva	4	4	0	0	5.71525	4	positiva	3	3	0	1	1
Mas ela é muito especial ela é a minha melhor amiga.	4.2299999999999995	4	negativa	4	0	4	0	4.8915	4	negativa	4	0	4	0	1
Não quero ficar uma baleia, ja to gorda demais !	3.7837499999999995	4	positiva	4	4	0	0	3.4367499999999995	4	positiva	4	4	0	0	1
Ele não se importa é com nada.	3.22375	4	negativa	4	0	4	0	3.5452500000000002	4	negativa	4	0	4	0	1
Aí ele disse que a gente fazia outro dia.	3.40525	4	negativa	4	0	4	0	3.8465	4	negativa	3	0	3	1	1
Me imagino em paz comigo mesma, com tudo que eu tiver feito da minha vida.	8.768500000000001	4	neutra	4	0	0	4	4.0295	4	neutra	3	0	1	3	1
Apesar de ser tarja vermelha, não vou poder usar ele mais do que dois meses, por causa da dependência.	5.36925	4	positiva	4	4	0	0	6.3185	4	positiva	3	3	0	1	1
Ir pra casa do melhor amigo/irmão só pra ver tv , e tomar banho na piscina de 1000 litros dele.	7.21075	4	neutra	3	0	1	3	7.7532499999999995	4	neutra	4	0	0	4	1
A uns meses atrás eu reencontrei um amigo então ele começou a me dar ideia e eu fui acreditando ele falo tanta coisas linda.	6.8004999999999995	4	neutra	4	0	0	4	5.185499999999999	4	neutra	4	0	0	4	1
É preciso somente que se tenha a alma limpa e desprovida de mágoas e rancores.	7.87525	4	positiva	4	4	0	0	13.356499999999999	4	positiva	3	3	0	1	1
Eu que mando na hora do sexo.	4.89925	4	positiva	3	3	0	1	4.937	4	positiva	3	3	0	1	1
Era um belo trabalho.	4.2604999999999995	4	neutra	2	1	1	2	4.58975	4	neutra	3	1	0	3	1
Quando somos jovens e nos apaixonamos vemos tudo de um modo fantasioso e cheio de coisas boas e então nos damos de corpo e alma na vida que achamos ser perfeita.	2.35975	4	positiva	4	4	0	0	2.19825	4	positiva	3	3	0	1	1
Se bem, que agora não tá diferente, porque de todo jeito ele tá comigo por piedade.	9.098749999999999	4	positiva	3	3	0	1	9.535	4	positiva	3	3	0	1	1
No dia do aniversário dele eu vi ele escondendo drogas dentro do meu quarto , e eu fui lá e contei pra minha mãe.	6.43375	4	negativa	4	0	4	0	5.81925	4	negativa	4	0	4	0	1
Ando muito estressada ultimamente.	7.57625	4	negativa	4	0	4	0	7.78775	4	negativa	3	0	3	1	1
É só você olhar aqueles casais idosos que estão a tantos anos e até hoje estão juntos até que a morte os separe!	2.8775	4	negativa	4	0	4	0	4.247	4	negativa	4	0	4	0	1
Ainda lembro das palavras doces que você dizia.	8.654499999999999	4	positiva	3	3	0	1	7.51	4	neutra	2	1	1	2	0
O antidepressivo tem sua parcela de contribuição, mas não é só ele.	2.4234999999999998	4	positiva	4	4	0	0	2.5812500000000003	4	positiva	3	3	0	1	1
Ninguém quando ama de verdade consegue esquecer este sentimento que é acima de tudo, este sentimento é o amor de verdade.	5.0192499999999995	4	negativa	3	1	3	0	4.518249999999999	4	neutra	4	0	0	4	0
Depois ele me disse que eu valorizo e desvalorizo ele muito rápido, que mudo constantemente de humor, uma hora to triste e outra hora super alegre e me perguntou se eu tinha algum transtorno de personalidade ou de humor.	5.696250000000001	4	positiva	4	4	0	0	8.41025	4	positiva	4	4	0	0	1
QUE O AMOR AO PRÓXIMO E A VONTADE DO CONHECIMENTO SEJA A SUA MARQUINHA NESTE LINDO ESPIRITO ILUMINADO.	10.55625	4	negativa	3	1	3	0	15.114250000000002	4	neutra	3	0	1	3	0
Tentei dormir na varanda , estava tão bom , sabe , olhando a lua.	6.42475	4	positiva	3	3	0	1	7.267	4	positiva	3	3	0	1	1
Eu queria ser uma conhecedora da vida, pra entender meu coração.	4.36975	4	positiva	4	4	0	0	3.75125	4	positiva	3	3	0	1	1
Foi eu, minha irmã, namorado, pai e mãe.	3.87875	4	neutra	3	1	0	3	4.80525	4	neutra	3	1	0	3	1
Me refugiei dentro da umbanda com meus guias e guias dos outros.	2.50525	4	neutra	3	1	0	3	2.76075	4	neutra	4	0	0	4	1
Sai de madrugada e diz que foi comprar um pastel.	3.4485	4	positiva	3	3	0	1	6.83	4	neutra	3	1	0	3	0
Então, você é que terá que ir lá e falar com ela, qualquer coisa, normalmente, diga Oi depois Tudo bem? e puxe um assunto interessante, nada muito pessoal.	8.37975	4	neutra	3	1	0	3	8.0225	4	neutra	4	0	0	4	1
Logo naquela hora senti aquele corpo quente uma sensação boa e ela estava muito bonita.	7.825749999999999	4	positiva	3	3	0	1	9.457	4	neutra	4	0	0	4	0
Só não tenho ninguém a quem recorrer, não tenho mãe e nem família por culpa dos desentendimentos que tive com minha mãe que sempre foi violenta e doente.	4.2445	4	positiva	4	4	0	0	5.30725	4	positiva	3	3	0	1	1
Eu sou o único homem que será sempre fiel a você, aquele que jamais irá te abandonar.	5.704750000000001	4	negativa	4	0	4	0	7.0745000000000005	4	negativa	4	0	4	0	1
Nós fomos avaliar a música que era aquela música da Legião Urbana, Pais e Filhos, nossa super amo essa música.	4.30275	4	positiva	4	4	0	0	6.0065	4	positiva	2	2	1	1	1
Começamos com um beijo daqueles super envolvente.	5.10975	4	positiva	3	3	0	1	6.648	4	neutra	3	1	0	3	0
Em meus sonhos imaginava sua boca me dizendo as palavras que me faria feliz, que a partir desse dia seriamos eu e você pra sempre.	2.05575	4	positiva	4	4	0	0	2.7399999999999998	4	positiva	3	3	0	1	1
Ele chamava todos os garotos de quem eu falava ser um amigo, de idiota, ele não era um amigo chato, que fica no pé, mas nunca me deixou fazer algo errado!	4.32825	4	positiva	4	4	0	0	14.694249999999998	4	positiva	3	3	0	1	1
Entregamo-nos nosso coração, o orgulho e todo nosso amor.	10.088000000000001	4	positiva	2	2	1	1	22.23	4	neutra	3	1	0	3	0
Só você sabia que eu não chorava por ter ficado sozinha naquelas datas que costumávamos comemorar, mas eu chorava por que meu pai era tudo que tinha me restado, e eu era simplesmente a segunda opção dele.	7.8614999999999995	4	positiva	3	3	0	1	3.62425	4	positiva	3	3	0	1	1
